k,n,message_count,success_rate,decode_time,msg_complexity
1000,100,2090,45.90,41.12,664.39
1000,1000,25362,72.00,151.53,9965.78
1000,1200,30412,77.60,185.23,12274.58
1000,1500,38058,100.00,256.85,15826.12
1000,2000,51762,100.00,429.65,21931.57
1000,2500,64634,100.00,525.94,28219.28
1000,100,2151,51.90,54.17,664.39
1000,100,2232,49.70,50.84,664.39
1000,100,2258,51.90,50.07,664.39
1000,100,2162,51.60,45.40,664.39
1000,100,761,48.50,120.01,664.39
1000,100,843,46.90,120.01,664.39
1000,100,775,50.90,120.00,664.39
1000,100,791,53.10,120.02,664.39
1000,100,831,50.40,120.01,664.39
1000,100,851,52.00,120.02,664.39
1000,100,791,47.20,120.02,664.39
1000,100,737,48.20,120.01,664.39
1000,100,2266,51.90,85.37,664.39
1000,100,2202,71.00,68.38,664.39
1000,100,2258,52.80,85.58,664.39
1000,100,2248,52.50,79.66,664.39
1000,100,2274,53.40,85.48,664.39
1000,100,2266,49.30,140.75,664.39
1000,100,2192,50.10,76.04,664.39
1000,100,2186,54.00,76.48,664.39
