Root (0) düğümden kodlama ve dagitim yapiliyor...

2500 adet sembol encode edildi. Örnek bir sembol: Düğüm 0 = XOR([349, 686, 55]) -> 0

Çözülen Semboller (Indeks ve Değer):
Sembol 0: 1 (Orijinal: 1)
Sembol 2: 0 (Orijinal: 0)
Sembol 3: 1 (Orijinal: 1)
Sembol 7: 1 (Orijinal: 1)
Sembol 9: 1 (Orijinal: 1)
Sembol 10: 0 (Orijinal: 0)
Sembol 18: 0 (Orijinal: 0)
Sembol 19: 1 (Orijinal: 1)
Sembol 21: 1 (Orijinal: 1)
Sembol 23: 1 (Orijinal: 1)
Sembol 29: 0 (Orijinal: 0)
Sembol 30: 0 (Orijinal: 0)
Sembol 32: 1 (Orijinal: 1)
Sembol 34: 0 (Orijinal: 0)
Sembol 37: 0 (Orijinal: 0)
Sembol 38: 0 (Orijinal: 0)
Sembol 39: 0 (Orijinal: 0)
Sembol 41: 1 (Orijinal: 1)
Sembol 42: 0 (Orijinal: 0)
Sembol 43: 1 (Orijinal: 1)
Sembol 44: 1 (Orijinal: 1)
Sembol 49: 0 (Orijinal: 0)
Sembol 52: 1 (Orijinal: 1)
Sembol 55: 1 (Orijinal: 1)
Sembol 59: 0 (Orijinal: 0)
Sembol 61: 1 (Orijinal: 1)
Sembol 62: 1 (Orijinal: 1)
Sembol 67: 1 (Orijinal: 1)
Sembol 69: 0 (Orijinal: 0)
Sembol 70: 0 (Orijinal: 0)
Sembol 75: 0 (Orijinal: 0)
Sembol 76: 1 (Orijinal: 1)
Sembol 77: 0 (Orijinal: 0)
Sembol 79: 1 (Orijinal: 1)
Sembol 81: 0 (Orijinal: 0)
Sembol 83: 1 (Orijinal: 1)
Sembol 84: 1 (Orijinal: 1)
Sembol 86: 1 (Orijinal: 1)
Sembol 91: 1 (Orijinal: 1)
Sembol 92: 1 (Orijinal: 1)
Sembol 93: 0 (Orijinal: 0)
Sembol 94: 0 (Orijinal: 0)
Sembol 98: 0 (Orijinal: 0)
Sembol 99: 1 (Orijinal: 1)
Sembol 104: 1 (Orijinal: 1)
Sembol 107: 1 (Orijinal: 1)
Sembol 109: 1 (Orijinal: 1)
Sembol 110: 0 (Orijinal: 0)
Sembol 112: 1 (Orijinal: 1)
Sembol 115: 1 (Orijinal: 1)
Sembol 119: 1 (Orijinal: 1)
Sembol 121: 0 (Orijinal: 0)
Sembol 127: 1 (Orijinal: 1)
Sembol 128: 1 (Orijinal: 1)
Sembol 130: 0 (Orijinal: 0)
Sembol 139: 1 (Orijinal: 1)
Sembol 140: 1 (Orijinal: 1)
Sembol 141: 0 (Orijinal: 0)
Sembol 146: 0 (Orijinal: 0)
Sembol 148: 0 (Orijinal: 0)
Sembol 149: 1 (Orijinal: 1)
Sembol 154: 1 (Orijinal: 1)
Sembol 156: 0 (Orijinal: 0)
Sembol 158: 1 (Orijinal: 1)
Sembol 161: 1 (Orijinal: 1)
Sembol 164: 0 (Orijinal: 0)
Sembol 165: 0 (Orijinal: 0)
Sembol 166: 1 (Orijinal: 1)
Sembol 167: 0 (Orijinal: 0)
Sembol 172: 0 (Orijinal: 0)
Sembol 175: 0 (Orijinal: 0)
Sembol 181: 0 (Orijinal: 0)
Sembol 186: 0 (Orijinal: 0)
Sembol 187: 0 (Orijinal: 0)
Sembol 188: 1 (Orijinal: 1)
Sembol 190: 1 (Orijinal: 1)
Sembol 199: 1 (Orijinal: 1)
Sembol 204: 1 (Orijinal: 1)
Sembol 205: 0 (Orijinal: 0)
Sembol 206: 1 (Orijinal: 1)
Sembol 208: 0 (Orijinal: 0)
Sembol 210: 0 (Orijinal: 0)
Sembol 211: 0 (Orijinal: 0)
Sembol 212: 0 (Orijinal: 0)
Sembol 213: 0 (Orijinal: 0)
Sembol 214: 1 (Orijinal: 1)
Sembol 219: 1 (Orijinal: 1)
Sembol 228: 0 (Orijinal: 0)
Sembol 229: 1 (Orijinal: 1)
Sembol 234: 0 (Orijinal: 0)
Sembol 240: 1 (Orijinal: 1)
Sembol 242: 1 (Orijinal: 1)
Sembol 244: 1 (Orijinal: 1)
Sembol 245: 0 (Orijinal: 0)
Sembol 247: 0 (Orijinal: 0)
Sembol 248: 0 (Orijinal: 0)
Sembol 253: 1 (Orijinal: 1)
Sembol 256: 0 (Orijinal: 0)
Sembol 258: 0 (Orijinal: 0)
Sembol 261: 0 (Orijinal: 0)
Sembol 262: 1 (Orijinal: 1)
Sembol 263: 0 (Orijinal: 0)
Sembol 265: 1 (Orijinal: 1)
Sembol 267: 0 (Orijinal: 0)
Sembol 268: 1 (Orijinal: 1)
Sembol 273: 0 (Orijinal: 0)
Sembol 274: 1 (Orijinal: 1)
Sembol 276: 0 (Orijinal: 0)
Sembol 278: 1 (Orijinal: 1)
Sembol 281: 1 (Orijinal: 1)
Sembol 287: 0 (Orijinal: 0)
Sembol 288: 0 (Orijinal: 0)
Sembol 289: 1 (Orijinal: 1)
Sembol 291: 1 (Orijinal: 1)
Sembol 292: 0 (Orijinal: 0)
Sembol 304: 0 (Orijinal: 0)
Sembol 308: 0 (Orijinal: 0)
Sembol 310: 1 (Orijinal: 1)
Sembol 314: 0 (Orijinal: 0)
Sembol 315: 0 (Orijinal: 0)
Sembol 320: 1 (Orijinal: 1)
Sembol 322: 0 (Orijinal: 0)
Sembol 324: 1 (Orijinal: 1)
Sembol 325: 0 (Orijinal: 0)
Sembol 326: 1 (Orijinal: 1)
Sembol 329: 1 (Orijinal: 1)
Sembol 330: 0 (Orijinal: 0)
Sembol 338: 1 (Orijinal: 1)
Sembol 339: 1 (Orijinal: 1)
Sembol 340: 0 (Orijinal: 0)
Sembol 341: 0 (Orijinal: 0)
Sembol 342: 0 (Orijinal: 0)
Sembol 345: 0 (Orijinal: 0)
Sembol 346: 0 (Orijinal: 0)
Sembol 347: 0 (Orijinal: 0)
Sembol 349: 0 (Orijinal: 0)
Sembol 352: 0 (Orijinal: 0)
Sembol 353: 1 (Orijinal: 1)
Sembol 356: 0 (Orijinal: 0)
Sembol 358: 1 (Orijinal: 1)
Sembol 359: 0 (Orijinal: 0)
Sembol 362: 0 (Orijinal: 0)
Sembol 363: 0 (Orijinal: 0)
Sembol 364: 1 (Orijinal: 1)
Sembol 365: 1 (Orijinal: 1)
Sembol 368: 0 (Orijinal: 0)
Sembol 370: 1 (Orijinal: 1)
Sembol 372: 0 (Orijinal: 0)
Sembol 380: 1 (Orijinal: 1)
Sembol 384: 1 (Orijinal: 1)
Sembol 387: 0 (Orijinal: 0)
Sembol 390: 0 (Orijinal: 0)
Sembol 391: 0 (Orijinal: 0)
Sembol 392: 1 (Orijinal: 1)
Sembol 397: 0 (Orijinal: 0)
Sembol 399: 1 (Orijinal: 1)
Sembol 400: 1 (Orijinal: 1)
Sembol 401: 1 (Orijinal: 1)
Sembol 403: 0 (Orijinal: 0)
Sembol 405: 0 (Orijinal: 0)
Sembol 407: 1 (Orijinal: 1)
Sembol 408: 1 (Orijinal: 1)
Sembol 409: 0 (Orijinal: 0)
Sembol 411: 1 (Orijinal: 1)
Sembol 413: 1 (Orijinal: 1)
Sembol 415: 1 (Orijinal: 1)
Sembol 417: 1 (Orijinal: 1)
Sembol 418: 1 (Orijinal: 1)
Sembol 419: 0 (Orijinal: 0)
Sembol 422: 0 (Orijinal: 0)
Sembol 423: 1 (Orijinal: 1)
Sembol 426: 1 (Orijinal: 1)
Sembol 428: 0 (Orijinal: 0)
Sembol 430: 1 (Orijinal: 1)
